"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"30138","616634","","998","Description","2"
"30140","616634","","998","Nutrient Updated","4"
"30142","616638","","998","Description","2"
"30144","616640","","998","Description","2"
"30146","616642","","998","Description","2"
"30148","616642","","998","Food Category","1"
"30150","616644","","998","Description","2"
"30152","616650","","998","Description","2"
"30154","616654","","998","Description","2"
"30156","616660","","998","Ingredients","3"
"30158","616660","","998","Description","2"
"30160","616662","","998","Description","2"
"30162","616662","","998","Ingredients","3"
"30164","616664","","998","Description","2"
"30166","616668","","998","Nutrient Updated","4"
"30168","616668","","998","Nutrient Added","5"
"30170","616668","","998","Ingredients","3"
"30172","616668","","998","Nutrient Removed","6"
"30174","616668","","998","Description","2"
"30176","616670","","998","Description","2"
"30178","616672","","998","Description","2"
"30180","616674","","998","Nutrient Removed","6"
"30182","616674","","998","Nutrient Added","5"
"30184","616674","","998","Serving Size","7"
"30186","616674","","998","Nutrient Updated","4"
"30188","616674","","998","Ingredients","3"
